Client_ID,Age,Sexe,Revenu_Annuel,Fréquence_Achat,Montant_Total_Dépensé,Type_Produit_Principal,Durée_Client,Visites_Mensuelles,Panier_Moyen,Reduction_Utilisee,Satisfaction_Client
171,46,Homme,97928.0,16,3899.88,Sport,11,16,436.44,Non,5.0
172,53,Femme,149518.0,19,411.88,Beauté,9,16,349.17,Non,3.0
173,30,Homme,93474.0,26,8418.17,Sport,12,13,203.12,Oui,7.0
174,49,Homme,24141.0,15,18040.2,Electronique,6,10,81.31,Oui,6.0
175,24,Homme,43350.0,12,1973.98,Sport,3,18,411.84,Oui,2.0
176,68,Homme,95082.0,21,5419.86,Vêtements,5,9,472.04,Non,8.0
177,39,Femme,90871.0,10,12646.12,Alimentation,8,12,206.37,Non,5.0
178,45,Homme,25077.0,29,106452.2,Alimentation,14,13,369.75,Oui,6.0
179,19,Homme,66015.0,26,1472.85,Maison,8,11,217.17,Oui,8.0
180,59,Femme,,29,19371.78,Vêtements,6,15,261.09,Non,6.0
181,62,Homme,79180.0,22,17754.66,Sport,5,10,421.51,Oui,10.0
182,23,Homme,60857.0,2,5258.59,Vêtements,5,10,60.04,Oui,3.0
183,45,Femme,121196.0,7,2534.54,Maison,1,9,274.56,Oui,7.0
184,45,Femme,79840.0,13,18853.82,Beauté,2,3,123.02,Oui,4.0
185,61,Femme,145463.0,3,9276.72,Sport,12,16,183.11,Oui,6.0
186,61,Homme,79902.0,15,6292.22,Vêtements,11,12,329.33,Oui,6.0
187,37,Femme,25577.0,1,98581.20000000001,Beauté,4,17,33.07,Oui,5.0
188,47,Femme,40002.0,26,15477.61,Maison,6,15,305.04,Non,1.0
189,28,Homme,70711.0,3,3450.87,Beauté,11,3,156.05,Oui,8.0
190,45,Homme,59451.0,25,15373.17,Sport,7,5,341.35,Non,10.0
191,42,Homme,119811.0,10,15013.99,Maison,1,13,87.96,Non,2.0
192,56,Homme,69103.0,27,10833.03,Maison,8,6,373.19,Oui,4.0
193,50,Homme,48647.0,27,17330.26,Maison,12,9,329.91,Non,3.0
194,18,Femme,54831.0,15,2729.65,Electronique,1,19,486.2,Oui,6.0
195,44,Femme,138330.0,22,11950.03,Maison,9,7,457.39,Non,1.0
196,69,Femme,120304.0,27,9041.93,Electronique,4,13,155.99,Non,9.0
197,30,Homme,116498.0,6,8503.61,Beauté,12,5,33.11,Oui,5.0
198,58,Homme,148949.0,20,5125.97,Electronique,7,16,334.58,Non,5.0
199,20,Homme,133870.0,15,7508.37,Beauté,11,4,309.39,Oui,4.0
200,56,Femme,115119.0,24,2252.2,Electronique,14,5,33.17,Non,4.0
201,23,Femme,86830.0,21,5106.82,Beauté,6,19,78.89,Oui,1.0
202,25,Homme,100632.0,7,5512.11,Beauté,13,6,300.66,Oui,9.0
203,44,Femme,56833.0,25,14441.29,Maison,9,4,457.68,Non,9.0
204,26,Homme,132394.0,29,1066.15,Maison,14,1,455.12,Oui,4.0
205,54,Femme,112864.0,29,13058.73,Beauté,2,17,92.71,Oui,
206,50,Femme,44398.0,21,4506.06,Maison,11,9,204.6,Non,10.0
207,68,Femme,144633.0,27,1729.04,Beauté,7,16,40.74,Oui,4.0
208,59,Homme,81554.0,5,6086.04,Maison,11,2,245.25,Non,7.0
209,61,Femme,70755.0,4,4567.01,Alimentation,5,11,381.48,Non,4.0
210,41,Femme,37706.0,22,11085.44,Electronique,13,5,399.19,Non,1.0
211,32,Homme,42340.0,18,7211.79,Beauté,7,13,259.51,Oui,9.0
212,49,Femme,84994.0,3,19323.28,Vêtements,1,17,66.02,Non,2.0
213,49,Homme,83884.0,17,19274.64,Maison,11,15,203.05,Oui,5.0
214,41,Homme,104361.0,18,8929.93,Maison,11,12,467.41,Non,4.0
215,58,Homme,37482.0,18,15922.24,Sport,10,6,130.21,Non,8.0
216,69,Homme,74225.0,24,364.04,Vêtements,9,13,173.48,Non,6.0
217,66,Homme,78849.0,24,11001.45,Vêtements,1,18,378.48,Oui,7.0
218,66,Femme,94854.0,2,14891.65,Alimentation,14,15,372.12,Non,2.0
219,69,Homme,61256.0,13,4417.17,Electronique,5,15,457.86,Oui,4.0
220,29,Homme,129545.0,22,1317.32,Alimentation,14,8,206.3,Oui,4.0
221,56,Homme,128721.0,15,3202.79,Electronique,8,19,267.01,Oui,2.0
222,19,Homme,101110.0,5,8892.78,Beauté,1,14,244.35,Oui,10.0
223,20,Femme,133606.0,3,10176.79,Alimentation,7,7,465.32,Oui,4.0
224,66,Homme,34650.0,5,7679.61,Sport,2,14,389.28,Non,9.0
225,54,Femme,,5,8855.48,Electronique,7,5,419.09,Oui,8.0
226,66,Homme,48930.0,5,9457.68,Alimentation,7,15,83.89,Non,1.0
227,34,Femme,105707.0,3,15411.79,Sport,9,15,400.09,Non,8.0
228,66,Homme,149030.0,3,2194.31,Vêtements,6,4,227.83,Oui,9.0
229,19,Homme,120400.0,20,15402.11,Maison,4,1,31.2,Non,8.0
230,19,Femme,31801.0,23,13803.68,Beauté,7,17,48.84,Non,10.0
231,45,Homme,71360.0,28,14859.05,Beauté,7,1,345.4,Oui,1.0
232,40,Femme,107908.0,28,14715.92,Vêtements,4,16,198.57,Oui,8.0
233,54,Homme,36559.0,28,9464.78,Alimentation,2,13,436.7,Non,5.0
234,49,Femme,52334.0,18,4306.86,Maison,13,18,372.45,Oui,9.0
235,50,Homme,125473.0,26,10778.92,Vêtements,11,10,30.41,Oui,9.0
236,18,Homme,33288.0,20,19163.84,Sport,9,18,349.71,Non,6.0
237,36,Femme,42398.0,4,11811.66,Maison,14,17,112.33,Oui,3.0
238,19,Homme,96230.0,1,319.84,Electronique,8,9,222.84,Oui,7.0
239,61,Homme,32191.0,26,1288.25,Alimentation,5,14,319.87,Oui,3.0
240,43,Homme,38051.0,16,19857.98,Maison,14,13,438.9,Oui,
241,49,Homme,81715.0,8,1531.73,Electronique,5,14,238.93,Oui,8.0
242,23,Homme,30737.0,17,1016.3,Vêtements,1,11,408.08,Oui,5.0
243,49,Homme,85140.0,8,7125.18,Beauté,11,13,395.82,Non,5.0
244,21,Femme,45251.0,7,19389.41,Maison,9,17,218.98,Oui,4.0
245,28,Femme,70975.0,25,6441.64,Maison,11,3,260.47,Non,3.0
246,34,Femme,25147.0,8,82566.90000000001,Electronique,14,1,356.23,Non,8.0
247,55,Homme,70508.0,21,12718.13,Electronique,10,5,34.95,Non,6.0
248,41,Femme,72224.0,24,579.83,Beauté,11,13,447.59,Non,6.0
249,22,Homme,39643.0,27,17965.5,Electronique,8,5,389.51,Oui,2.0
890,69,Homme,58967.0,26,10436.92,Electronique,5,5,139.72,Non,4.0
251,51,Homme,118850.0,12,9389.54,Maison,10,12,490.97,Oui,5.0
252,23,Homme,123535.0,16,17228.46,Beauté,6,2,106.11,Non,10.0
253,39,Femme,60733.0,12,19066.22,Beauté,12,16,458.76,Non,5.0
254,28,Homme,104003.0,19,8526.16,Maison,10,17,175.75,Oui,3.0
255,65,Femme,54808.0,10,3531.58,Vêtements,11,5,386.31,Oui,10.0
256,33,Homme,139222.0,7,16332.61,Vêtements,10,12,239.06,Non,
257,50,Femme,87288.0,12,8124.88,Maison,8,15,373.5,Oui,5.0
258,26,Femme,78959.0,20,18717.36,Electronique,6,6,94.78,Non,2.0
259,23,Femme,21849.0,5,190029.90000000002,Alimentation,10,13,149.36,Oui,5.0
260,33,Femme,88178.0,16,2385.1,Vêtements,14,11,67.93,Oui,
261,46,Femme,87136.0,9,19135.42,Vêtements,4,17,435.27,Non,3.0
262,20,Femme,80740.0,7,7428.58,Maison,3,9,162.22,Oui,5.0
263,37,Homme,132255.0,20,12960.43,Maison,7,16,353.35,Non,9.0
264,53,Femme,106322.0,22,791.53,Alimentation,13,17,413.71,Oui,2.0
265,36,Homme,64565.0,26,17788.8,Alimentation,2,18,452.68,Non,9.0
266,43,Femme,40183.0,14,12867.79,Beauté,7,13,71.02,Non,3.0
267,20,Homme,135306.0,11,12906.73,Maison,1,11,448.65,Non,7.0
268,36,Femme,21132.0,7,180533.1,Vêtements,13,13,114.68,Oui,1.0
269,37,Femme,58259.0,29,10216.11,Sport,10,13,373.71,Non,1.0
270,49,Homne,116612.0,10,8269.28,Sport,5,12,369.85,Non,8.0
4179,24,Femme,83668.0,29,17335.96,Electronique,9,14,24.08,Oui,9.0
272,69,Femme,148355.0,9,14874.17,Vêtements,13,13,125.9,Non,3.0
273,58,Femme,58563.0,4,18984.62,Sport,13,9,256.12,Non,6.0
274,50,Homme,112227.0,16,18808.43,Vêtements,1,14,221.62,Non,
275,57,Femme,128835.0,10,7708.29,Maison,8,1,460.92,Oui,6.0
276,56,Homme,30931.0,19,8995.03,Vêtements,9,9,192.68,Oui,7.0
277,35,Femme,147156.0,24,5194.1,Sport,9,4,469.75,Non,5.0
278,57,Femme,93169.0,17,13246.89,Vêtements,8,12,240.53,Oui,3.0
279,18,Homme,149457.0,9,7354.39,Alimentation,4,14,482.89,Non,8.0
280,28,Femme,70639.0,13,15743.4,Electronique,14,9,373.93,Oui,5.0
281,45,Femme,142536.0,1,2518.86,Beauté,14,3,418.08,Non,1.0
282,42,Homme,123313.0,2,2416.42,Sport,7,6,70.34,Non,9.0
283,67,Femme,78901.0,13,4168.66,Maison,1,3,301.35,Non,3.0
284,40,Homme,120417.0,24,1777.41,Beauté,7,1,88.5,Oui,2.0
285,48,Homme,21044.0,9,124386.29999999999,Electronique,6,3,162.86,Non,3.0
286,47,Homme,66691.0,7,3032.32,Alimentation,5,14,319.31,Non,7.0
287,59,Femme,120735.0,16,3283.26,Alimentation,1,2,368.59,Oui,10.0
288,52,Homme,44363.0,19,383.14,Alimentation,8,12,38.81,Oui,8.0
289,24,Homme,66694.0,7,15663.59,Alimentation,10,10,274.85,Non,2.0
290,33,Femme,21582.0,6,162646.9,Sport,1,13,291.35,Oui,7.0
291,43,Homme,99910.0,18,3324.25,Sport,1,4,57.84,Non,5.0
292,65,Femme,86844.0,19,14816.54,Vêtements,14,19,260.33,Oui,9.0
293,69,Femme,41301.0,11,8727.55,Maison,3,1,362.64,Oui,7.0
294,66,Femme,94329.0,29,4867.94,Vêtements,13,11,45.55,Non,1.0
295,19,Femme,21620.0,12,124655.5,Maison,8,16,384.93,Non,1.0
296,18,Homme,82224.0,29,3651.83,Electronique,8,19,296.68,Non,6.0
297,65,Homme,76655.0,26,15161.98,Vêtements,14,19,419.95,Oui,9.0
298,29,Homme,115419.0,10,1047.54,Electronique,7,12,124.67,Non,1.0
299,22,Homme,57534.0,13,19186.71,Electronique,5,3,419.97,Oui,3.0
300,54,Homme,140050.0,12,1530.32,Electronique,8,18,65.39,Non,5.0
301,49,Femme,123496.0,21,11631.02,Alimentation,2,17,213.84,Non,4.0
302,26,Homme,59390.0,10,18053.67,Beauté,8,5,115.75,Non,1.0
303,58,Homme,91629.0,20,336.9,Beauté,12,16,440.49,Oui,10.0
304,52,Homme,75856.0,18,10020.44,Sport,11,14,358.36,Non,4.0
305,36,Femme,,4,7065.14,Electronique,2,19,32.17,Oui,4.0
306,65,Femme,75809.0,28,11648.61,Alimentation,10,6,24.57,Non,10.0
307,33,Homme,42259.0,24,4586.6,Vêtements,5,3,159.8,Non,4.0
308,20,Femme,40655.0,5,1391.49,Vêtements,11,6,88.78,Oui,3.0
309,37,Homme,53005.0,5,12556.07,Sport,13,12,322.55,Oui,7.0
310,41,Homme,51629.0,29,8395.3,Sport,4,11,338.62,Oui,1.0
311,50,Femme,43610.0,28,12487.46,Electronique,13,7,472.14,Non,2.0
312,41,Femme,77184.0,12,4289.73,Electronique,1,1,476.98,Non,1.0
313,69,Homme,41602.0,26,6840.95,Vêtements,5,16,336.27,Oui,4.0
314,28,Homme,105945.0,3,11277.46,Vêtements,7,16,22.72,Non,5.0
315,66,Femme,31110.0,29,11902.94,Vêtements,1,17,192.32,Oui,10.0
316,25,Homme,26073.0,8,75090.6,Vêtements,2,15,266.31,Oui,5.0
317,53,Femme,120846.0,22,5673.06,Beauté,12,9,259.61,Non,2.0
318,55,Homme,100818.0,2,5546.64,Electronique,14,5,309.6,Oui,3.0
319,57,Femme,30195.0,18,3576.52,Electronique,9,8,481.06,Non,4.0
320,37,Homme,21537.0,9,65755.6,Vêtements,12,1,444.89,Oui,10.0
321,52,Homme,37138.0,13,4068.86,Alimentation,5,7,72.28,Non,6.0
322,65,Femme,64328.0,7,12712.93,Vêtements,14,11,147.67,Oui,6.0
323,42,Homme,145138.0,10,11424.43,Maison,13,13,419.89,Non,2.0
324,52,Homme,66202.0,9,7713.52,Sport,7,13,415.67,Oui,2.0
325,42,Femme,60164.0,22,6584.02,Maison,2,7,152.18,Non,9.0
326,46,Homme,146545.0,15,4828.52,Alimentation,7,11,370.68,Non,2.0
327,35,Homme,109743.0,5,10755.62,Sport,7,18,342.58,Non,2.0
328,63,Homme,74659.0,12,18386.17,Alimentation,7,1,247.29,Oui,3.0
329,35,Femme,106155.0,1,13745.49,Sport,5,12,116.7,Non,9.0
330,19,Femme,69692.0,12,14913.85,Vêtements,9,3,446.55,Oui,6.0
331,52,Femme,140198.0,22,16704.12,Vêtements,2,1,345.37,Oui,6.0
4442,33,Homme,44845.0,6,7097.54,Alimentation,4,4,101.12,Oui,10.0
333,58,Homme,109846.0,19,1351.23,Sport,2,6,358.31,Non,5.0
334,53,Homme,123435.0,19,12488.92,Beauté,8,5,375.89,Oui,7.0
335,50,Homme,50562.0,16,3854.58,Alimentation,12,11,445.7,Oui,4.0
336,21,Femme,48036.0,19,11423.97,Alimentation,11,13,126.96,Non,10.0
337,50,Homme,80752.0,3,14816.25,Maison,1,11,494.6,Non,10.0
338,31,Homme,94233.0,23,15694.4,Electronique,9,6,93.63,Non,3.0
339,38,Homme,103049.0,10,6106.6,Alimentation,12,19,308.33,Non,7.0
340,65,Femme,128575.0,27,10297.42,Beauté,13,15,335.44,Oui,10.0
341,37,Homme,88681.0,18,12457.21,Vêtements,14,13,221.1,Oui,1.0
342,25,Homme,47818.0,26,16407.67,Sport,5,10,248.02,Oui,6.0
